openalex_id,doi,pmcid,pmid,source_url,local_path,file_hash,retrieval_time_utc,notes
W4407681133,10.1038/s41392-024-02108-4,PMC11836418,39966355,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11836418/fullTextXML,research_ops/cache/fulltext/T205_PMC11836418.xml,b5ddf2680a7e552db353593d7628dc35e17c246230ca231d0fa3a7f1a24eb2d9,2026-04-01T15:19:43Z,T205 pilot
W4407778444,10.1038/s41392-025-02148-4,PMC11842613,39979279,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11842613/fullTextXML,research_ops/cache/fulltext/T205_PMC11842613.xml,ff803400cfe8feacfc03f16324143b68db069e18c2890cec3ca9fd2d8f2f20e6,2026-04-01T15:19:43Z,T205 pilot
W4411192949,10.1038/s41392-025-02253-4,PMC12159213,40500258,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12159213/fullTextXML,research_ops/cache/fulltext/T205_PMC12159213.xml,2e5da00e006892fcd25577b3ab15d414b3e9f5960af955e87478d51194ea2ac5,2026-04-01T15:19:43Z,T205 pilot
W4413390122,10.1038/s41392-025-02313-9,PMC12371117,40841367,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12371117/fullTextXML,research_ops/cache/fulltext/T205_PMC12371117.xml,6d97112459b3c1711361e2580d271bd84906b93a2b54f46fb7a7f223c4d6fbdf,2026-04-01T15:19:43Z,T205 pilot
W4406028065,10.1038/s41467-024-55771-0,PMC11698958,39753570,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11698958/fullTextXML,research_ops/cache/fulltext/T205_PMC11698958.xml,2f30fd5aab0aa2c9cd442c51196ab0db968165abdadc11cd7d66cf418da733d6,2026-04-01T15:19:43Z,T205 pilot
W4406951686,10.1038/s41467-025-56122-3,PMC11779837,39880838,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11779837/fullTextXML,research_ops/cache/fulltext/T205_PMC11779837.xml,03eb0162b41431ce4de8d3443ec9cc35b624aab7475abfdf3c3dbb70ce0f8909,2026-04-01T15:19:43Z,T205 pilot
W4409190866,10.1038/s41467-025-56989-2,PMC11972378,40188094,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11972378/fullTextXML,research_ops/cache/fulltext/T205_PMC11972378.xml,2ccbe545e7bb80f3573b2429651a075eca858c8a1bf907d26c40c0e6109af0c1,2026-04-01T15:19:43Z,T205 pilot
W4409147844,10.1038/s41467-025-58527-6,PMC11965387,40175414,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11965387/fullTextXML,research_ops/cache/fulltext/T205_PMC11965387.xml,acfcacb81395e85b085026793dd8bfce67b97bb977c3ed8a693d1c030bc7360a,2026-04-01T15:19:43Z,T205 pilot
W4389304755,10.1038/s41551-023-01151-w,PMC10727986,38049470,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10727986/fullTextXML,research_ops/cache/fulltext/T205_PMC10727986.xml,f321d2a838b2e39791e141c37d81bc5a08fc134e18fb4dd16a9ccda68bb0b5f2,2026-04-01T15:19:43Z,T205 pilot
W4405248716,10.1038/s41551-024-01273-9,PMC12176653,39658630,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12176653/fullTextXML,research_ops/cache/fulltext/T205_PMC12176653.xml,70554167144a1701469a852ca911217d1d870ee2ab6bd34c762ccba5ad93f73e,2026-04-01T15:19:43Z,T205 pilot
