openalex_id,paper_id,abstract_status,abstract_artifact,fulltext_html_status,fulltext_html_artifact,pdf_status,pdf_artifact,oa_url_cached,last_fetch_utc,notes
W4405499183,openalex:W4405499183,missing,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,skipped_policy,,pending,,http://pubs.rsna.org/doi/pdf/10.1148/radiol.243475,2026-04-01T15:53:12Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false; T206_crossref_link
W4405499202,openalex:W4405499202,missing,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,skipped_policy,,pending,,http://pubs.rsna.org/doi/pdf/10.1148/radiol.241532,2026-04-01T15:53:12Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false; T206_crossref_link
W4405499502,openalex:W4405499502,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,skipped_policy,,pending,,http://pubs.rsna.org/doi/pdf/10.1148/radiol.233469,2026-04-01T15:53:12Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false; T206_crossref_link
W4405499503,openalex:W4405499503,missing,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pending,,pending,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11694073/pdf/radiol.241711.pdf,2026-04-01T10:32:56Z,T200 OpenAlex abstract layer
W4405499511,openalex:W4405499511,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,skipped_policy,,pending,,http://pubs.rsna.org/doi/pdf/10.1148/radiol.232225,2026-04-01T15:53:12Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false; T206_crossref_link
W4405499553,openalex:W4405499553,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,skipped_policy,,pending,,http://pubs.rsna.org/doi/pdf/10.1148/radiol.240587,2026-04-01T15:53:12Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false; T206_crossref_link
W4405499592,openalex:W4405499592,missing,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,skipped_policy,,pending,,http://pubs.rsna.org/doi/pdf/10.1148/radiol.241612,2026-04-01T15:53:12Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false; T206_crossref_link
W4405499715,openalex:W4405499715,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W4405499725,openalex:W4405499725,missing,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W4405515214,openalex:W4405515214,missing,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W4405515230,openalex:W4405515230,missing,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pending,,pending,,https://www.nature.com/articles/s42256-024-00967-8.pdf,2026-04-01T10:32:56Z,T200 OpenAlex abstract layer
W4405515239,openalex:W4405515239,missing,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pending,,pending,,https://www.nature.com/articles/s42256-024-00968-7.pdf,2026-04-01T10:32:56Z,T200 OpenAlex abstract layer
W4405516678,openalex:W4405516678,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405516678.pdf,pending,,https://www.nature.com/articles/s41746-024-01388-y.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; T203_fetched
W4405523578,openalex:W4405523578,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405523578.pdf,pending,,https://www.nature.com/articles/s41746-024-01343-x.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; T203_fetched
W4405529789,openalex:W4405529789,missing,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W4405529796,openalex:W4405529796,missing,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W4405529818,openalex:W4405529818,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,error,,pending,,https://doi.org/10.1016/j.cels.2024.11.010,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 403: Forbidden
W4405529826,openalex:W4405529826,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,error,,pending,,https://doi.org/10.1016/j.cels.2024.11.008,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 403: Forbidden
W4405529842,openalex:W4405529842,missing,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pending,,pending,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7618912/,2026-04-01T10:32:56Z,T200 OpenAlex abstract layer
W4405529855,openalex:W4405529855,missing,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W4405529890,openalex:W4405529890,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,error,,pending,,https://doi.org/10.1016/j.cels.2024.11.006,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 403: Forbidden
W4405530021,openalex:W4405530021,missing,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pending,,pending,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11665896/pdf/nihms-2040029.pdf,2026-04-01T10:32:56Z,T200 OpenAlex abstract layer
W4405530034,openalex:W4405530034,missing,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W4405530888,openalex:W4405530888,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,error,,pending,,https://doi.org/10.1016/j.cels.2024.11.013,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 403: Forbidden
W4405533326,openalex:W4405533326,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,error,,pending,,https://doi.org/10.1016/j.landig.2024.12.005,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 504: Gateway Time-out
W4405534231,openalex:W4405534231,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,error,,pending,,https://doi.org/10.1016/s2589-7500(24)00224-3,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 403: Forbidden
W4405535188,openalex:W4405535188,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,error,,pending,,https://doi.org/10.1148/ryai.240030,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 403: Forbidden
W4405538634,openalex:W4405538634,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405538634.pdf,pending,,https://www.nature.com/articles/s41746-024-01391-3.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; T203_fetched
W4405544132,openalex:W4405544132,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405544132.pdf,pending,,https://www.nature.com/articles/s41746-024-01360-w.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; T203_fetched
W4405546642,openalex:W4405546642,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405546642.pdf,pending,,https://www.nature.com/articles/s43588-024-00752-y.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; T203_fetched
W4405558710,openalex:W4405558710,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405558710.pdf,pending,,https://www.nature.com/articles/s41746-024-01376-2.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; T203_fetched
W4405564832,openalex:W4405564832,missing,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W4405574006,openalex:W4405574006,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405574006.pdf,pending,,https://www.nature.com/articles/s41746-024-01389-x.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; T203_fetched
W4405574097,openalex:W4405574097,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405574097.pdf,pending,,https://www.nature.com/articles/s41746-024-01355-7.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; T203_fetched
W4405580078,openalex:W4405580078,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405580078.pdf,pending,,https://www.nature.com/articles/s43588-024-00745-x.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; T203_fetched
W4405586932,openalex:W4405586932,missing,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W4405591076,openalex:W4405591076,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405591076.pdf,pending,,https://www.nature.com/articles/s41746-024-01363-7.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; T203_fetched
W4405597099,openalex:W4405597099,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405597099.pdf,pending,,https://www.nature.com/articles/s41746-024-01366-4.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; T203_fetched
W4405600011,openalex:W4405600011,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405600011.pdf,pending,,https://www.nature.com/articles/s41746-024-01334-y.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; T203_fetched
W4405601061,openalex:W4405601061,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W4405601131,openalex:W4405601131,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405601131.pdf,pending,,https://arxiv.org/pdf/2412.20924,2026-04-01T14:04:42Z,T200 OpenAlex abstract layer; T203_fetched
W4405608969,openalex:W4405608969,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405608969.pdf,pending,,https://www.nature.com/articles/s41746-024-01365-5.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; T203_fetched
W4405613391,openalex:W4405613391,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405613391.pdf,pending,,https://www.nature.com/articles/s41746-024-01375-3.pdf,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; T203_fetched
W4405625146,openalex:W4405625146,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,error,,pending,,https://doi.org/10.1016/s2589-7500(24)00218-8,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 403: Forbidden
W4405625235,openalex:W4405625235,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,error,,pending,,https://doi.org/10.1016/s2589-7500(24)00241-3,2026-04-01T15:30:54Z,T200 OpenAlex abstract layer; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 403: Forbidden; batch_fetch_error=HTTP Error 504: Gateway Time-out
W4405626131,openalex:W4405626131,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405626131.pdf,pending,,https://arxiv.org/pdf/2412.13403,2026-04-01T14:04:42Z,T200 OpenAlex abstract layer; T203_fetched
W4405627289,openalex:W4405627289,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405627289.pdf,pending,,https://arxiv.org/pdf/2412.14299,2026-04-01T14:04:42Z,T200 OpenAlex abstract layer; T203_fetched
W4405627372,openalex:W4405627372,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405627372.pdf,pending,,https://arxiv.org/pdf/2412.14259,2026-04-01T14:04:42Z,T200 OpenAlex abstract layer; T203_fetched
W4405627492,openalex:W4405627492,ingested,research_ops/parsed/abstracts/openalex_abstracts_2024.jsonl,pdf_cached,research_ops/cache/pdfs/T203_W4405627492.pdf,pending,,https://arxiv.org/pdf/2412.14436,2026-04-01T14:04:42Z,T200 OpenAlex abstract layer; T203_fetched
