dataset_id,name,modality,task,label_granularity,license,access_friction,url,notes
physionet:mbrset,"mBRSET, a Mobile Brazilian Retinal Dataset",multimodal_or_signal,clinical_or_physiologic_research,varies,PhysioNet Credentialed Health Data License 1.5.0,high,https://physionet.org/content/mbrset/1.0/,"T042 PhysioNet API; topics=retina,ophthalmology; score_hint=8; abstract_snip= The Mobile Brazilian Retinal Dataset (mBRSET) presents a pioneering collection of retinal images captured via portable cameras, encompassing a diverse range of ethnic backgrounds from Itabuna, Bahia,"
physionet:radgraph2-radiology-reports,RadGraph2: Tracking Findings Over Time in Radiology Reports,multimodal_or_signal,clinical_or_physiologic_research,varies,PhysioNet Credentialed Health Data License 1.5.0,high,https://physionet.org/content/radgraph2-radiology-reports/1.0.0/,"T042 PhysioNet API; topics=chest x-rays,radiology reports,disease progression,relation extraction,named entity recognition,information extraction; score_hint=8; abstract_snip=       RadGraph2 is a dataset of 800 chest radiology reports annotated using a fine-grained entity-relationship schema, which is an expanded version of the previously introduced RadGraph dataset. In c"
physionet:cxr-cardiomegaly,Image-derived cardiomegaly biomarker values for 96K chest X-rays in MIMIC-CXR/MIMIC-CXR-JPG,multimodal_or_signal,clinical_or_physiologic_research,varies,Open Data Commons Attribution License v1.0,low,https://physionet.org/content/cxr-cardiomegaly/1.0.0/,"T042 PhysioNet API; topics=cpar,biomarkers,ctr,mimic-cxr,cardiomegaly; score_hint=8; abstract_snip=    Cardiomegaly is a condition characterized by an abnormal enlargement of the heart, its identification is of paramount importance as it associate with a wide range of cardiac conditions. It is prim"
physionet:medical-cxr-vqa-dataset,Medical-CXR-VQA dataset: A Large-Scale LLM-Enhanced Medical Dataset for Visual Question Answering on Chest X-Ray Images,multimodal_or_signal,clinical_or_physiologic_research,varies,PhysioNet Credentialed Health Data License 1.5.0,high,https://physionet.org/content/medical-cxr-vqa-dataset/1.0.0/,"T042 PhysioNet API; topics=; score_hint=8; abstract_snip= Medical Visual Question Answering (VQA) is an important task in medical multi-modal Large Language Models (LLMs), aiming to answer clinically relevant questions regarding input medical images. This t"
physionet:symile-mimic,"Symile-MIMIC: a multimodal clinical dataset of chest X-rays, electrocardiograms, and blood labs from MIMIC-IV",multimodal_or_signal,clinical_or_physiologic_research,varies,PhysioNet Credentialed Health Data License 1.5.0,high,https://physionet.org/content/symile-mimic/1.0.0/,"T042 PhysioNet API; topics=contrastive learning,model,cxr,multimodal,chest x-ray,mimic,ecg,electrocardiogram,database; score_hint=8; abstract_snip= Symile-MIMIC is a multimodal clinical dataset derived from MIMIC-IV and MIMIC-CXR, consisting of chest X-rays (CXRs), electrocardiograms (ECGs), and blood laboratory tests. It was developed to evalua"
physionet:rexerr-v1,ReXErr-v1: Clinically Meaningful Chest X-Ray Report Errors Derived from MIMIC-CXR,multimodal_or_signal,clinical_or_physiologic_research,varies,Open Data Commons Attribution License v1.0,low,https://physionet.org/content/rexerr-v1/1.0.0/,"T042 PhysioNet API; topics=; score_hint=8; abstract_snip= Interpreting medical images and writing radiology reports is a critical yet challenging task in healthcare. Despite their importance, both human-written and AI-generated reports are liable to errors,"
physionet:hillel-yaffe-glaucoma-dataset,Hillel Yaffe Glaucoma Dataset (HYGD): A Gold-Standard Annotated Fundus Dataset for Glaucoma Detection,multimodal_or_signal,clinical_or_physiologic_research,varies,Open Data Commons Attribution License v1.0,low,https://physionet.org/content/hillel-yaffe-glaucoma-dataset/1.0.0/,"T042 PhysioNet API; topics=gon,ophthalmology,dfi,gold-standard,fundus,retina,glaucoma; score_hint=8; abstract_snip= Glaucomatous optic neuropathy (GON) is a leading cause of irreversible blindness worldwide, affecting an estimated 64.3 million people globally with projections reaching 111.8 million by 2040. Approx"
physionet:hillel-yaffe-glaucoma-dataset,Hillel Yaffe Glaucoma Dataset (HYGD): A Gold-Standard Annotated Fundus Dataset for Glaucoma Detection,multimodal_or_signal,clinical_or_physiologic_research,varies,Open Data Commons Attribution License v1.0,low,https://physionet.org/content/hillel-yaffe-glaucoma-dataset/1.1.0/,"T042 PhysioNet API; topics=ophthalmology,glaucoma,dfi,gon,fundus,gold-standard,retina; score_hint=8; abstract_snip= Glaucomatous optic neuropathy (GON) is a leading cause of irreversible blindness worldwide, affecting an estimated 64.3 million people globally with projections reaching 111.8 million by 2040. Approx"
physionet:embedding-brset-mbrset,Embedding-Based Representations for BRSET and mBRSET,multimodal_or_signal,clinical_or_physiologic_research,varies,PhysioNet Credentialed Health Data License 1.5.0,high,https://physionet.org/content/embedding-brset-mbrset/1.0.0/,"T042 PhysioNet API; topics=computer vision,ophthalmology,vector embeddings; score_hint=8; abstract_snip= BRSET and mBRSET are publicly available Brazilian ophthalmological datasets composed of curated retinal fundus photographs with associated clinical and demographic information. While these resources "
physionet:mimic-cxr,MIMIC-CXR Database,multimodal_or_signal,clinical_or_physiologic_research,varies,PhysioNet Credentialed Health Data License 1.5.0,high,https://physionet.org/content/mimic-cxr/1.0.0/,"T042 PhysioNet API; topics=machine learning,mimic,chest x-rays,radiology,natural language processing,computer vision; score_hint=7; abstract_snip= The MIMIC Chest X-ray (MIMIC-CXR) Database v1.0.0 is a large publicly available dataset of chest radiographs with structured labels. The dataset contains 371,920 images corresponding to 224,548 radio"
physionet:mimic-cxr,MIMIC-CXR Database,multimodal_or_signal,clinical_or_physiologic_research,varies,PhysioNet Credentialed Health Data License 1.5.0,high,https://physionet.org/content/mimic-cxr/2.0.0/,"T042 PhysioNet API; topics=machine learning,natural language processing,computer vision,mimic,radiology,chest x-rays; score_hint=7; abstract_snip= The MIMIC Chest X-ray (MIMIC-CXR) Database v2.0.0 is a large publicly available dataset of chest radiographs in DICOM format with free-text radiology reports. The dataset contains 377,110 images corr"
physionet:mimic-cxr-jpg,MIMIC-CXR-JPG - chest radiographs with structured labels,multimodal_or_signal,clinical_or_physiologic_research,varies,PhysioNet Credentialed Health Data License 1.5.0,high,https://physionet.org/content/mimic-cxr-jpg/2.0.0/,"T042 PhysioNet API; topics=mimic,computer vision,radiology,deep learning,chest x-ray; score_hint=7; abstract_snip= The MIMIC Chest X-ray JPG (MIMIC-CXR-JPG) Database v2.0.0 is a large publicly available dataset of chest radiographs in JPG format with structured labels derived from free-text radiology reports. The"
physionet:radgraph,RadGraph: Extracting Clinical Entities and Relations from Radiology Reports,multimodal_or_signal,clinical_or_physiologic_research,varies,PhysioNet Credentialed Health Data License 1.5.0,high,https://physionet.org/content/radgraph/1.0.0/,"T042 PhysioNet API; topics=entity and relation extraction,natural language processing,graph,radiology,multi-modal; score_hint=7; abstract_snip= RadGraph is a dataset of entities and relations in full-text radiology reports. We designed a novel information extraction (IE) schema to structure clinical information in a radiology report with fou"
physionet:ffa-ir-medical-report,FFA-IR: Towards an Explainable and Reliable Medical Report Generation Benchmark,multimodal_or_signal,clinical_or_physiologic_research,varies,PhysioNet Credentialed Health Data License 1.5.0,high,https://physionet.org/content/ffa-ir-medical-report/1.0.0/,"T042 PhysioNet API; topics=fundus fluorescein angiography,explainable and reliable evaluation,vision and language,medical report generation; score_hint=7; abstract_snip= Automatic medical report generation (MRG) towards describing life-threatening lesions from given medical images, such as Chest X-ray and Fundus Fluorescein Angiography (FFA), has been a long-standing"
physionet:reflacx-xray-localization,REFLACX: Reports and eye-tracking data for localization of abnormalities in chest x-rays,multimodal_or_signal,clinical_or_physiologic_research,varies,PhysioNet Restricted Health Data License 1.5.0,medium,https://physionet.org/content/reflacx-xray-localization/1.0.0/,"T042 PhysioNet API; topics=radiology report,computer vision,reflacx,fixations,chest x-rays,radiology,gaze,machine learning,eye tracking,deep learning; score_hint=7; abstract_snip= Labels localizing anomalies are rare in current chest x-rays datasets. We collected a dataset, using a method that can potentially be scaled up, to be a proof-of-concept for collecting implicit local"
physionet:ms-cxr,MS-CXR: Making the Most of Text Semantics to Improve Biomedical Vision-Language Processing,multimodal_or_signal,clinical_or_physiologic_research,varies,PhysioNet Credentialed Health Data License 1.5.0,high,https://physionet.org/content/ms-cxr/0.1/,"T042 PhysioNet API; topics=chest x-ray,vision-language processing; score_hint=7; abstract_snip= We release a new dataset, MS-CXR, with locally-aligned phrase grounding annotations by board-certified radiologists to facilitate the study of complex semantic modelling in biomedical vision–language"
physionet:lung-segment-mimic-cxr,Chest X-ray segmentation images based on MIMIC-CXR,multimodal_or_signal,clinical_or_physiologic_research,varies,PhysioNet Credentialed Health Data License 1.5.0,high,https://physionet.org/content/lung-segment-mimic-cxr/1.0.0/,"T042 PhysioNet API; topics=cxr,segmentation,chest x-rays; score_hint=7; abstract_snip= As more and more artificial intelligence (AI) or deep learning technologies have been applied to medical image applications such as radiological finding identification in chest X-rays (CXRs), the int"
